#wl	f0 ( W/m^2/um/sr)
321.825	635.4055060849572
321.85	719.2988552172803
321.875	801.4281523717297
321.9	870.5980399993193
321.925	931.2818736193872
321.95	972.4235348129047
321.975	967.2028517023945
322.0	904.3458506296921
322.025	813.4264552371133
322.05	753.7098125599408
322.075	766.779918044318
322.1	838.7918744281233
322.125	920.9495449146438
322.15	974.8038575614894
322.175	980.1512915396012
322.2	925.3279197058117
322.225	818.4110802172779
322.25	696.6709830218769
322.275	608.9830903588021
322.3	581.5514631845784
322.325	596.3645204787541
322.35	614.0085969146132
322.375	620.9517111222195
322.4	638.4552396582269
322.425	689.0979608610678
322.45	769.9957754787433
322.475	851.7928748639309
322.5	896.932088781048
322.525	884.7024733250141
322.55	823.8863440488589
322.575	744.6243519311928
322.6	672.7155386038327
322.625	611.1841416036236
322.65	559.8975156031323
322.675	539.139935531112
322.7	563.375496669091
322.725	607.8725941077267
322.75	636.0160722174238
322.775	643.7494936199247
322.8	643.9096630775892
322.825	627.4733015175891
322.85	581.3083816554844
322.875	527.9109395986462
322.9	506.27104880530703
322.925	521.4966783252632
322.95	541.4888078397811
322.975	537.6670798595345
323.0	511.830043938328
323.025	485.29654262086984
323.05	475.824095718255
323.075	492.60989884017704
323.1	538.8682508859193
323.125	600.7512274385655
323.15	648.7239681404471
323.175	669.1334154204403
323.2	680.18254041255
323.225	707.0131824491857
323.25	753.5724816364717
323.275	801.0766827160012
323.3	824.8038716700197
323.325	809.3274778419684
323.35	758.6462228568041
323.375	704.1798854484487
323.4	683.8371354800427
323.425	693.6821122440218
323.45	686.6363944729042
323.475	632.9316012935865
323.5	553.948806759746
323.525	496.0499955134547
323.55	495.15980220093724
323.575	556.2569973049665
323.6	647.5624898071325
323.625	720.2601916627835
323.65	739.2882772765196
323.675	697.5086956606722
323.7	616.3175767180146
323.725	541.097096007439
323.75	518.9921523145974
323.775	563.8212776821267
323.8	645.7855399518978
323.825	722.1417032410669
323.85	774.0870201418376
323.875	810.176659700911
323.9	836.4432319034814
323.925	831.7860591528832
323.95	768.1670542830884
323.975	657.5339476922463
324.0	561.092832132125
324.025	542.7601029569436
324.05	617.3075362608362
324.075	741.2718928878201
324.1	850.0190320883703
324.125	907.274218274088
324.15	921.2720418017077
324.175	915.576045435344
324.2	895.0428144988847
324.225	849.2046675048745
324.25	783.7632654954815
324.275	735.0867562615227
324.3	740.7946914066983
324.325	793.2270005862773
324.35	839.3283202258586
324.375	838.729483069396
324.4	801.8881300414109
324.425	759.8320083439672
324.45	726.1694076252974
324.475	706.3610453889905
324.5	716.0036923215938
324.525	764.3907136435461
324.55	829.9656401540423
324.575	873.5905573497821
324.6	879.6395319539666
324.625	870.0696766049803
324.65	875.1201097324526
324.675	903.8209439863729
324.7	942.1979936221076
324.725	961.5708352017296
324.75	929.3664738923763
324.775	835.1270289948892
324.8	715.4912239875806
324.825	636.7996157694267
324.85	633.2786351185263
324.875	669.1338350260555
324.9	684.1236162184739
324.925	668.712560979066
324.95	662.8441266860998
324.975	688.322519693681
325.0	725.0204375355578
325.025	753.8366633336414
325.05	777.3365359409631
325.075	791.0592780160296
325.1	776.3023379775739
325.125	734.572089993335
325.15	699.4735788784396
325.175	700.079439433651
325.2	731.7895253095902
325.225	770.8813731107139
325.25	800.5156400367307
325.275	818.3469005393815
325.3	826.0494409667301
325.325	819.4126388581752
